author,published,like_count,comment
MsGangster107,2023-12-23T08:29:48Z,0,"The biggest crap is when clubs start a super league... In the third case, some club will steal a large amount of money. You know what I want to tell you (stealing money for your own interests) Clubs should compete and not deal with other things. Here nui more in the game just the game as such. The Super League is the brainchild of certain lobbies who want to get rich. The game of football itself will no longer make sense."
bobsmith3291,2023-11-25T03:19:18Z,0,The cheek of Man City and rotor ham to think they’re big clubs 😂
devongarvie6261,2023-07-21T11:50:56Z,0,"If they had gone ahead with this, I would have burned my Liverpool shirt and never supported the club ever again."
rednaskela4830,2023-06-20T12:10:44Z,0,"The ignorant American owners infuriates me more than the corrupt Agnelli and Perez for some reason. In which universe did they expect a press release like this to be welcomed by the world of football or their own fans for that matter. I could see a UCL replacement for a worldwide tournament at some point, that would be equally as lucrative with more than doubling the revenue of todays UCL and allow clubs outside of Europe to compete on the same level. That is the opposite of what the Super League tried to do and would benefit football as a whole..."
ymg8057,2022-12-07T18:27:24Z,0,"When does it start? I thought it was supposed to be starting in 2022, but there are only three and a half weeks left of the year, so I assume it's going to start very soon! I would have thought they wouldn't have held it when the World Cup's on. So, I assume then that it'll start after its Final on 18th December then! _ _ _ _ What's that? _ _ _ It's been cancelled? Did I blink and miss something? I was wondering why I hadn't heard about it for a while! One minute it was all over the media and next moment I wasn't hearing anything about it anymore! I must have blinked, and it was cancelled whilst I was blinking, or something! Oh, I was SO looking forward to watching all those plastic clubs playing each other endlessly and repetitively in their elitist private members club! Who doesn't want to watch Barca and Real play each other again and again and again endlessly in ""El Plastico"", or whatever it is called?"
rafaeldula3095,2022-02-04T18:11:36Z,0,"Then when this ""Super League"" gonna start the competition???"
georgewoods9517,2022-02-01T22:03:39Z,0,"I remember seeing the announcement on Twitter and running to SSN to see if it was real and my heart sank. Then to watch the Super League collapse on Twitter. 
The biggest win was football Twitter collecting against this"
lukemckean6155,2022-02-01T08:46:59Z,1,Should have all been relegated automatically
jmillett8048,2022-01-03T10:45:19Z,0,Never forget this nearly happened. I’ve always been a United fan but since this happened I have struggled to feel any connection to them. I will never forgive them for trying do this and kill the game we love.
Instasamps,2021-11-14T20:46:07Z,0,"Let’s face it, It will happen one day. I’m dead against it, but money talks"
fredericcjm7,2021-09-17T12:48:51Z,1,Rip super league you will not be missed 🤮🤢
FreezePlayz1,2021-08-16T15:19:21Z,0,Why so many dislikes
jaysoncooley9602,2021-07-28T19:46:50Z,0,Premier league fa cup carbon Cup champions league Europa league have all run they course and don't matter in what other jackass fans or other ex players say cause ye all a pack of stupid retarded jackasses
